,timestamp,likeable,surprising,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,age,gender,edu,group
123,2019/01/10 1:56:58 PM EST,7.0,6.0,50.0,200.0,1.0,25.0,20.0,13.0,-30.0,50.0,51.0,302.0,43.0,f,masters,0
124,2019/01/10 1:57:06 PM EST,8.0,3.0,-81.0,51.0,1.0,15.0,32.0,-42.0,-18.0,52.0,-55.0,302.0,25.0,m,masters,0
125,2019/01/10 1:59:48 PM EST,6.0,4.0,-80.0,20.0,1.0,15.0,32.0,-85.0,-32.0,56.0,-50.0,302.0,47.0,m,masters,0
126,2019/01/10 1:59:50 PM EST,5.0,6.0,-88.0,40.0,1.0,20.0,35.0,-60.0,-30.0,56.0,-88.0,303.0,29.0,m,masters,0
127,2019/01/10 2:00:16 PM EST,8.0,6.0,-88.0,25.0,1.0,15.0,32.0,-84.0,34.0,54.0,-52.0,302.0,28.0,m,4yr,0
128,2019/01/10 2:02:12 PM EST,7.0,6.0,-88.0,26.0,1.0,15.0,30.0,-84.0,-33.0,56.0,-30.0,302.0,23.0,m,masters,0
129,2019/01/10 2:02:25 PM EST,7.0,2.0,-88.0,25.0,1.0,15.0,33.0,-80.0,-20.0,56.0,-50.0,300.0,56.0,m,phd,0
130,2019/01/10 2:03:13 PM EST,5.0,2.0,-33.0,80.0,1.0,33.0,0.0,-88.0,-33.0,50.0,302.0,88.0,25.0,m,masters,0
131,2019/01/10 2:05:50 PM EST,2.0,3.0,-88.0,25.0,1.0,33.0,33.0,-32.0,-28.0,51.0,-51.0,302.0,49.0,m,phd,0
132,2019/01/10 2:07:13 PM EST,6.0,5.0,-50.0,200.0,5.0,0.0,1.0,-10.0,0.0,50.0,-30.0,340.0,28.0,f,phd,0
133,2019/01/10 2:10:22 PM EST,6.0,7.0,-80.0,300.0,1.0,52.0,50.0,-14.0,-33.0,52.0,-51.0,302.0,71.0,f,masters,0
134,2019/01/10 2:11:15 PM EST,7.0,3.0,-88.0,25.0,1.0,15.0,32.0,-84.0,-25.0,52.0,-51.0,302.0,,none,4yr,0
135,2019/01/10 2:11:54 PM EST,3.0,5.0,98.0,25.0,1.0,33.0,13.0,90.0,-25.0,53.0,50.0,300.0,33.0,m,2yr,0
