"Timestamp","How much did you LIKE the previous page? (Be honest!)","How SURPRISING did the statistics feel to you? (regardless if you dis/liked the presentation style)","From 1910–2015, what was the % change in extreme poverty? (if decrease, type negative number)","From 1990–2016, what was the % change in air particle pollution? (if decrease, type negative number)","In 2016, what % of deaths were from homicide + war + terrorism combined?","In 2016, what % of world had at least one mental/substance disorder?","In 2016, what % of deaths were from heart disease?","From 1986–2014, what was the % change in nuclear warheads? (if decrease, type negative number)","From 1990–2016, what was the % change in the suicide death rate? (if decrease, type negative number)","In 2015, what % of people lived in a democracy?","From 1950–2015, what was the % change in the world's fertility rate? (if decrease, type negative number)","From 1959–2016, what was the % change in CO2 emissions? (if decrease, type negative number)","What's your age? (OPTIONAL)","What's your gender? (OPTIONAL)","What's the highest level of academic schooling you've completed so far? (OPTIONAL)"
"2019/01/10 2:07:13 PM EST","6","5","-50","200","5","","1","-10","","50","-30","340","28","female","PhD or other advanced professional degree"
"2019/01/10 2:10:22 PM EST","6","7","-80","300","1","52","50","-14","-33","52","-51","302","71","Female","Master's degree"
"2019/01/10 2:11:15 PM EST","7","3","-88","25","1","15","32","-84","-25","52","-51","302","","","4-year college degree (Bachelor's)"
"2019/01/10 2:11:54 PM EST","3","5","98","25","1","33","13","90","-25","53","50","300","33","M","2-year college degree (Associate's)"
"2019/01/10 2:13:00 PM EST","9","8","30","30","1","15","33","-30","-30","15","-60","30","25","Male","2-year college degree (Associate's)"
"2019/01/10 2:14:48 PM EST","6","7","88","25","1","15","32","84","33","56","51","300","21","Male","4-year college degree (Bachelor's)"
"2019/01/10 2:17:58 PM EST","4","6","-15","100","1","20","32","-50","-20","50","-50","300","23","Male","4-year college degree (Bachelor's)"
"2019/01/10 2:21:13 PM EST","8","6","-88","50","1","15","32","-83","-50","56","-50","302","33","male","Master's degree"
"2019/01/10 2:23:14 PM EST","10","3","-80","200","1","15","32","-80","-30","55","-51","302","42","Male","4-year college degree (Bachelor's)"
"2019/01/10 2:25:07 PM EST","7","4","-88","25","1","15","30","-84","-33","56","-51","300","47","Male","Master's degree"
"2019/01/10 2:27:33 PM EST","9","8","-50","15","1","24","31","-90","-10","56","-51","302","18","male","Grade school/Primary school"
"2019/01/10 2:32:02 PM EST","6","6","80","25","1","15","15","84","25","56","50","75","24","Female",""
"2019/01/10 2:33:02 PM EST","5","8","-90","30","1","15","30","-70","-80","50","-55","50","17","",""
"2019/01/10 2:33:33 PM EST","4","1","33","160","1","17","37","-84","-33","52","-51","301","40","Male","Master's degree"
"2019/01/10 2:34:01 PM EST","5","3","-20","25","18","24","32","-24","5","26","5","302","67","Male","PhD or other advanced professional degree"
"2019/01/10 2:35:51 PM EST","7","4","30","30","1","15","15","-86","-30","57","-33","308","20","Male","4-year college degree (Bachelor's)"
"2019/01/10 2:36:23 PM EST","8","3","-88","25","1","15","32","-85","-30","50","-50","302","42","Male","4-year college degree (Bachelor's)"
"2019/01/10 2:37:33 PM EST","3","6","-88","25","1","15","33","-84","-33","50","-60","25","32","Female ","PhD or other advanced professional degree"
"2019/01/10 2:39:23 PM EST","8","6","-50","60","1","15","30","-40","-30","58","-50","300","21","male","4-year college degree (Bachelor's)"
"2019/01/10 2:43:50 PM EST","3","5","-206","25","1","15","32","-206","-33","52","-33","302","48","male","4-year college degree (Bachelor's)"
"2019/01/10 2:45:10 PM EST","7","2","-10","300","1","15","15","-40","10","51","-33","302","34","Male","Master's degree"
"2019/01/10 2:48:08 PM EST","4","4","-80","30","1","15","40","-80","-33","50","-80","300","19","Female","High school/Secondary school/GED"
"2019/01/10 2:49:28 PM EST","8","6","-88","300","1","15","32","-54","15","54","51","300","36","Male","4-year college degree (Bachelor's)"
"2019/01/10 2:49:42 PM EST","8","8","-88","110","1","15","32","-80","-40","56","-30","302","","",""
"2019/01/10 2:50:20 PM EST","8","8","-88","+20","+1","25","5","-81","-10","80","-20","+25","75","M","PhD or other advanced professional degree"
"2019/01/10 2:51:29 PM EST","5","4","-60","26","1","50","33","-33","-33","50","49","40","16","мале","Grade school/Primary school"
"2019/01/10 3:00:21 PM EST","7","3","-90","50","1","15","35","-85","-30","55","-50","300","33","Male","Master's degree"
"2019/01/10 3:01:52 PM EST","7","3","-88","23","1","15","60","-84","-12","56","-50","203","17","Male","Grade school/Primary school"
